GameID,PostID,FamilyAID,FamilyBID,GameTitle,FastMoneyID,QS_FastMoney_Q1,QS_FastMoney_Q2,QS_FastMoney_Q3,QS_FastMoney_Q4,QS_FastMoney_Q5,QS_FastMoney_Answers
291,194,324,320,"G1: Hartleys (Marilyn, Linda, Andrew, Rich & Chris) v. Franchinas",1496,: How long would you wait for a date before deciding you've been stood up?,: A vegetable that's hard to spell.,: Where do parents tell children that babies come from?,: A complaint police officers have about their job.,: Something that gets congested.,"Diann: 10 min. (2), eggplant, heaven (20) & traffic (28)
Jackie: 35 min., tomato, stork (32), rowdy people (10) & nose (30)
Unsaid #1s: Hr., asparagus/zucchini, danger/violence & chest"
292,194,325,319,"G2: Frenchs (Angie, Bert, Brian, Sam & Bert Sr.) v. Newkirks",1502,: How much time could you spend shopping before you get tired?,: A tradition you see at most wedding receptions.,: Something that squeaks.,: Tell me your favorite fish to eat.,: Someone you WOULDN'T curse around.,"Kristy: Two hrs. (20), toast (19), doors (18), snapper (3) & mom (22)
Dee Ann: Hr. (21), first dance (21), toys (20), salmon (31) & clergy (38)
Unsaid #1s: Three hrs., throwing the bouquet & mice/rats  || "
293,195,326,320,G1: Barnhills vs. Franchinas,1507,: An occasion for which a woman would buy some sexy lingerie.,: Something people push that has wheels.,: Something people do while watching really scary movies.,: How many yrs. younger than you really are do you think you look?,: A reptile people keep as a pet.,"Brenda: Anniv. (33), stroller (20), hold hands (3), 10 (22) & snake (46)
Chris: Valentine's Day (20), (shopping) cart (33), scream (34), five & lizard"
294,195,327,319,"CG: McCrarys (Liza, Ericka, Christina, Lillian & James) v. Newkirks",1512,": Besides the blade, something you'd find on a Swiss army knife.",: A food that makes people thirsty.,: An old-fashioned term for a woman.,: Something you REFUSE to pay full-price for.,": On the scale, how much of a leader are you?","Kristy: Screwdriver (14), chips (24), broad (22), car (26) & 8 (35)
Dee Ann: Scissors (13), French fries (2), lass (5), clothes/shoes (33) & 7 (11)
Unsaid #1: Corkscrew || "
295,369,326,328,"M-U: Barnhills (Brenda, Chris, Jonathan, Angel & Christina) v. Campbells (Justin, Nate, Tammy, Rob & Brittani)",1518,: Something a magician probably keeps w/ them at all times.,": On the scale, how much fun are you at parties?",: Something that gets sliced.,: A sad-sounding musical instrument.,: Which country do you think has the happiest people?,"Brenda: Wand (23), 8 (26), veggies (7), violin (34) & U.S. (42)
Chris: Rabbit (5), 7 (12), tomatoes/fruit (25), flute (5) & France (4)
Unsaid #1: Cards || "
296,370,326,329,"M-U: Barnhills v. Parkers (Steve, Susan, Kyle, Matt & Bryan)",1523,": Acc. to the men, what subject were you best at in school?",": On the scale, how sexy's your voice?",: Something that people pound on.,: A state in the U.S. that everyone wants to go to.,: A food that comes to mind when you think of BBQ.,"Brenda: P.E. (18), 10 (5), their fist, FL (26) & ribs (45)
Chris: English (16), 9 (6), doors (14), CA (22) & chicken (16)
Unsaid #1s: Science, 5, desks & HI || "
297,457,326,330,M-U: Barnhills vs. Majors,1529,: Name the first thing you might reach for if you were awaken by a loud noise.,: Something assoc. w/ Santa Claus.,: An animal starting w/ A.,: At what age do people have their first drink?,: Something a man wears that probably DOESN'T fit his wife.,"Lauren: Light switch (15), chimney, alligator (27), 16 (23) & pants (17)
Becky: Gun (24), beard (8), ant (4), 18 (32) & shoes (37)
Unsaid #1s: Phone, Christmas/presents & aardvark/anteater || "
298,146,331,330,"M-U: Sowells (Wanda, Tasha, Renee, Estill & Khris) v. Majors (Becky, Lauren, Noni, Amanda & Mimi)",1534,": According to women on the scale, how hot do you look from behind?",: Something you peel.,: Something an honest person might have to break into.,: Something that might be dangerous to cross.,: Name the biggest state in America.,"Renee: 7 (28), apples (7), bank, street (26) & HI
Khris: 8 (17- 5 & 7 tied for #1), oranges (35), home (38), highway (14) & CA (15)
Unsaid #1s: Railroad tracks & TX || "
299,147,331,332,"M-U: Sowells v. Mastrinos (Andey, Joe, Tim, Jim & Terre)",1539,: Something you hope a houseguest DOESN'T turn on in the middle of the night.,: Something people do in HI.,: Something you buy by the case.,: Something retired people miss about their jobs.,: Something that runs on a schedule.,"Tim: Faucet (3), swim (20), beer (47), working (8) & planes (13)
Jim: A/C, hula hoop, apples, $ (31) & post offices
Unsaid #1s (the #1 for Q #2 WASN'T revealed): TVs, people/coworkers & trains || "
300,606,333,334,"M-U: Ritchies v. Joneses (Arin, Alexis, Chauvon, Ashley & Madeline)",1544,": Acc. to married women on the scale, how tight of a leash do you keep on your husband?",: Name the part of your body that needs the most exercise.,: Something that people catch.,: A part of the body that men put cologne on.,: A face card in a deck of cards.,"Patty: 9 (8), stomach (34), ball (14), neck (45) & Ace
Joni: 7, butt (5), fish (41), arms & King (55)(JACKPOT NOW: $60K)
Unsaid #1s: 1/3 & leg/stomach || "
301,607,1,39,M-U: Hutchinsons v. Rioses,1549,": According to women on the scale, how comfortable are you walking around NAKED?",: What do Presidents do after they retire?,: A food you cook at a campfire.,: Something you'd HATE to run out of while you're showering.,: A type of jewel you'd see in a crown.,"Brad: 6, hunting (4), s'mores (3), soap/shampoo (46) & ruby (30)
Brent: 3 (15), golf (16), soup, water (45) & diamond (43)(JACKPOT NOW: $80K)
Unsaid #1s: 1, write book/memoir & hot dogs || "
302,608,333,1,SF #1: Ritchies v. Hutchinsons,1554,: Something a couch potato might have to get off the couch to do.,: A type of jewelry a woman wears.,: Something BAD that makes people feel good.,: Something cooked in oil.,: Which school subject do you think's most useful in real life?,"Brad: Eat/drink (39), diamonds, laughter, fries (34) & math (43)
Brent: Get remote (20), necklace (29), food (23), fish (16) & history (JACKPOT NOW: $100K)
Unsaid #1s: Ring & drugs || "
303,609,74,338,"M-U: Speegles v. Tolberts (Asya, Denise, Willie, Christine & Sonja)",1560,: How long does it take the avg. man to put on a tie?,: Something seen at bullfights.,: Something people lick.,: What's the favorite day of the wk. for sleeping in?,: A place where you see a lifeguard.,"Janice: 10 min. (6), cape (19), popsicles (38), Sat. (35) & beaches (50)
Jill: Two min. (13), matador (28), lollipops (37), Sun. & pools (JACKPOT NOW: $120K)
Unsaid #1s: Five min. & bulls || "
304,610,226,340,"M-U: Wooleys v. Calonges (Beth, Joe, Billy, Caitlin & Rachel)",1565,: Something in your bathroom that you might keep plugged-in all the time.,: A month ending w/ Y.,: The piece of the chicken people grab for first.,: A place kids try to sneak out of.,: A kind of pet that outnumbers people in America.,"Catherine: Hot curlers, Feb. (25), wings (10), theater & dogs (43)
Damon: Blow dryer (23), Jan. (35), breast (40), school (43) & cats (JACKPOT NOW: $140K)
Unsaid #1s: Elec. toothbrush & leg/drumstick || "
305,611,74,226,SF #2: Speegles v. Wooleys,1570,: How long does it take you to fall asleep after you get into bed at night?,: A kind of cup.,: Something that hops.,: Something people put on baked potatoes.,: Tell us the night of the wk. when restaurants are the most-crowded.,"Catherine: 20 min. (17), tea (30), bunny/rabbit (44), cheese (4) & Fri. (48)
Damon: 15 min. (19), coffee (33), kangaroo (27), butter & Wed. (JACKPOT MAXED-OUT AT $160K)
Unsaid #1s: Half-hr. & sour cream || "
306,612,226,1,"$160K CHAMPIONSHIP: Wooleys v. Hutchinsons (remember, FM was NOT played & the game was played to 400)",,,,,,,
307,327,273,342,"M-U: Freemonts v. Griffins (Glenneta, Marcus, Debra, Jade & DeMarco)",1579,: Name the age when kids first ask â€œWhere do babies come from?â€.,: A place women DON'T enjoy going alone.,: Give a man's name that's three letters long.,: Name an animal w/ a reputation of eating out of garbage cans.,: Something that goes very fast.,"Nikki: 15, sporting event (2), Wil, rat (12) & time (8)
Joi: 6 (14), funeral, Jim (7), dog (20) & roller coaster
Unsaid #1s: 5, bar, Bob, raccoon & jet/plane || "
308,578,289,278.5,M-U: Weils v. Davises,1585,": Acc. to single men, how many ex-boyfriends can a girlfriend have before it's too many?",: Something that turns yellow.,: Name the one thing you do that requires the most discipline.,": If you only had $2, where would you go for lunch?",: Something of which a person has a right one & a left one.,"Gail: Three (6), teeth (21), exercise (20), Arby's & hands (47)
Adam: Five (30), urine (8), go to work (15), McDonald's (31) & legs (6)
Unsaid #1: Diet || "
309,579,289,290,M-U: Weils v. Irelands,1590,: Something you'd HATE to have happen on the first day of your new job.,: Name any singer named Bob(by).,: A breed of dog that reminds you of your boss.,: Something a baby might need help getting out of.,: How often do you floss?,"Gail: Get sick (6), Seger, bulldog (29), car seat (14) & everyday (46)
Adam: BAD hair day, Marley (26), Golden Retriever, crib/bed (33) & once a wk. (7)
Unsaid #1: Get FIRED || "
310,155,345.5,346,"G1: Johnsons (Becky, Allie, Lucy, Melanie & Hannah) v. Pawlaks (Pat, Adam, Eric, Nick & Scott- they ALL wore replica jerseys very similar to ones worn by the NY Rangers)",1595,: How much does a plumber charge just to walk in the door?,: A part of the chicken you'd HATE to have to eat.,: Something people do on the floor.,: Something specific a football player would HATE to FORGET to wear.,: Something babies do much more often than adults.,"Eric: $175, bones (2), have sex (2), cup (25) & cry (50)
Adam: $80, gizzards (14), wrestle (6), helmet (30) & poop diapers (12)
Unsaid #1s: $100, feet & yoga/exercise"
311,155,347,347.5,"G2: Traceys (Paul, Jim, Kathi, Maureen & Kristin) v. Johnsons (Rico, Abel, Tory, Donisha & Jerome)",1600,": When you're feeling tense, name something that will loosen you up.",: Tell me how much a large popcorn costs in a movie theater.,: A word rhyming w/ â€œpleaseâ€.,: What's your WORST driving habit?,: Something in their homes that people always keep hidden.,"Jim: Reading, $3 (7), seize (4), texting (3) & phone #s
Paul: Drink (21), $4 (16), sleaze (2), speeding (35) & $ (50)
Unsaid #1s: $5 & tease || "
312,156,348,346,"G1: Snipes (Deyotta, Rich, Dianne, Erica & Aleshia) v. Pawlaks",1605,: What percentage of Americans do you think are good-looking?,: Something you'd HATE to run out of while traveling.,: A fruit you'd squeeze to see if it's ripe.,: Name the number one  car co. in the world.,A job people have at a nightclub.,"Eric: 60% (7), gas (28), lemon (5), Ford (32) & bouncer (39) Adam: 50% (29), toothpaste (7), orange (21- tied w/ cantaloupe), Chevrolet (23) & bartender (45) Unsaid #1: $"
313,156,347,349,"G2: Traceys v. Howards (Regina, James, Rodney, Veronda & Sterling)",1610,: How much would you spend on a wedding gift for a marriage you know WON'T last?,: A food you HATE when it gets cold.,: A body part people should take better care of.,: A fish that's really tiny.,: Someone you're likely to see in a hospital delivery rm.,"Maureen: $100 (12), pizza (14), teeth (18), minnow (34) & baby (12)
Paul: $150, spaghetti (16), abdomen (4), guppy (22) & mom (11)
Unsaid #1s: $50, potatoes/fries, feet & nurse || "
314,157,350,346,"G1: Millsapses (Greg, Dwight, Trecia, Tonya & Christine) v. Pawlaks",1615,": During an avg. workday, how many times do you go to the bathroom?",: Something you might throw out when you get married.,: A kids' cereal w/ a lot of sugar in it.,: Name a color you hope your neighbors NEVER paint their house.,: Tell me a body part beginning w/ T.,"Eric: Four (14), date book (29), Lucky Charms (11), bright pink (29) & titties (4)
Adam: Twice (24), old pictures (21), Trix (9), purple/lavender (35) & tush (2)
Unsaid #1s: Three, Frosted Flakes & toes"
315,157,347,351,"G2: Traceys v. Lampes (Janelle, Melissa, Bill, Diane & John)",1621,: Something w/ which you might accidentally POKE YOURSELF IN THE EYE.,: Something you take w/ you on an African safari.,: Something people do to a ball.,: How deep's your bellybutton?,: A food that's sometimes served w/ bones w/ in it.,"Maureen: Pen(cil)(33), hats (8), kick (15), 1/4 in. (36) & chicken (54)
Paul: Comb (2), vest, hit (18), 1/2 in. (37) & steak
Unsaid #1s: Cameras & throw/shoot || "
316,390,234,346,"G1: Stones (Brian, Tamala, Sharon, Leyfane & Charita) v. Pawlaks",1626,: Someone you'd be SHOCKED to receive a naughty text message from.,: Something a person would be happy to get out of.,": On the scale, how good are you at saving $?",: Something you often see young kids selling.,": Besides a teacher, a job at a high school.","Tamala: Uncle, car, 5 (20), lemonade (36) & principal (23)
Brian: Pastor (15), old relationship (4), 4 (10), O.J. & gym teacher
Unsaid #1s: Mom, debt & janitor/custodian"
317,390,347,353,G2: Traceys v. Willingers,1631,": On the scale, how willing are you to serve on jury duty?",: Name a scent car air fresheners come in.,: Tell me a woman's name starting w/ M.,: A food that's red on the inside.,: Something that's made for people to put their fingers into.,"Susan: 3 (6), lavender, Mary (32), pepperoni (13) & water
Ken: 1 (28), melon, Meg(h)an (4), watermelon (21) & sand
Unsaid #1s: Pine/evergreen, tomato & gloves || "
318,385,305,293,G1: Burnses v. McLesters,1636,": If you could live your life over, name someone you'd be nicer to.",: How many vices do you have?,: An activity that your feet are NOT on the ground to do.,: Something a woman has that her friends might be jealous of.,: A snack people have on a long road trip.,"Christine: Siblings (11), three (17), swimming (21), $ (5) & potato chips (52)
Annie: Mom (28), four (10), biking (3), boyfriend (30) & soda
Unsaid #1s: Two & skydiving"
319,385,347,353,CG A REMATCH OF THE PREV. DAY'S G2 BECAUSE OF A TECH. GLITCH:,1641,: An ANNOYING creature that you wish would hurry up & become extinct.,: Name the earliest hr. of the day that you've had a stiff drink.,: Left______,: Tell me something it's really hard to get your dog into & out of.,: A sport where the players are always hugging each other.,"Susan: Dog, noon (22), turn (15), car (32) & basketball (2)
Ken: Possum, 10 (8), -handed (22), cage (17) & football (38)
Unsaid #1: Mosquito || "
320,221,305,356,"G1: Burnses v. Ingrams (Sweet Dorothy, Jacqui, Amber, Teonna & Jeremy)",1646,":Â  Acc. to women, which state do you think has the best-looking men?",": Besides buying it, name a way someone can get a car.",: How much money is a lot to a five-yr.-old?,: Something you put whipped cream on.,: A body part that might be sore on a horseback ride.,"Christine: CA (31), rent (19), $10 (21), strawberries (31) & legs (32)
Annie: FL (13), sell, $5 (29), I.C. (26) & back
Unsaid #1s: Steal & bottom"
321,221,357,353,"G2: Bests (Sherry, David, Bev, Cartis & Sug) v. Willingers (Ken, Katie, Kristen, Susan & Kelly)",1652,: Something on a kids' playground an adult would look silly using.,: Something passengers love to do on a cruise ship.,: Something people eat beginning w/ â€œshortâ€.,: A word rhyming w/ â€œnudeâ€.,: In which country are most of your clothes made?,"Katie: Slide (30), drink (30), cake (35), prude (6) & America (32)
Susan: Swings (13), lay out (11), bread (31), crude (17) & China
Unsaid #1s: Seesaw/teeter-totter, eat & rude || "
322,222,305,358,"G1: Burnses v. Bennetts (BJ, Isabella, Ashanti, Jon & Selina)",1658,": Acc. to women on the scale, how much of a man magnet are you?",: An animal w/ big teeth.,": Besides pizza, name something a pizza place might serve.",: An occupation that will always be in demand.,: Something a baby does w/o being taught how to do it.,"Ashanti: 8 (12), alligator (4), sodas (13), Dr. (26) & walk (5)
BJ: 9, tiger (15), spaghetti (26), soldiers & crawl (7)
Unsaid #1s: 1, lion, bread(stcks), nurse & cry"
323,222,359,353,"G2: Smiths (Ronnie, Chante, India, Val & Sharyse) v. Willingers",1663,: What's the one household appliance you just couldn't live without?,": On the scale, how prepared are most people to be parents?",: Something people get on & off of.,: Name the section of the newspaper you read first.,: Something that goes great w/ cheese.,"Katie: Straightener, 5 (27), bed (4), obituaries (11) & crackers (45)
Susan: Fridge (21), 8 (4), roller coasters (6), sports (16) & bread (3) 
Unsaid #1s: Microwave, buses & front page/headlines || "
324,226,360,358,"G1: Schuerings (Mary, Kurt, Lee, Theresa & Luke) v. Bennetts",1668,": For safety reasons, name an activity that people should NEVER do alone.",: Speed_____,": On the scale, how kind are most people?",: What's the first thing to touch your lips each morning?,: Tell me something around the house the dog REALLY HATES.,"Mary: Walk (in park)(8), limit (6), 7 (29), water (19) & shoes
Theresa: Deep sea fishing, demon (14), 5 (23), coffee (18) & cat (46)
Unsaid #1s: Swim, Racer & toothbrush/paste"
325,226,361,353,"CG: McCauleys (Gary, Becky, Shannon, Jetta & Brian) v. Willingers",1673,": If people could have spare body parts, name something you WOULDN'T mind have an extra one of.",: Something two people might squeeze into.,: How many people do you think will attend your funeral?,: Something people smell before they buy it.,: Something in the bathroom you use most often.,"Kelly: Hand (22), sleeping bag (26), 100 (20), soap (2) & shampoo (8)
Kristen: Foot, car (24), 50 (25), perfume (22) & lotion
Unsaid #1s: Fruit & toilet || "
326,231,360,362,G1: Schuerings v. Hugheses,1679,: At what age does a kid start thinking he knows more about his parents?,: An animal that likes to stick its tongue out.,: Something you might LOSE at a restaurant.,: Something you assoc. w/ bowling.,: Something a woman needs to throw a cocktail party.,"Jerry: 11 (3), anteater (12), cellphone (3), pins (34) & alcohol (49)
Jim: 12 (26), zebra, glasses (7), strikes (9) & dress (14)
Unsaid #1s: Snake & $/wallet"
327,231,363,364,"G2: Sullivans v. Frasers (Leticia, Monique, Shundelle, Cornell & Vitalien)",1684,: Something you borrow from a friend when yours DOESN'T work.,: A place where you have to fight the urge to fall asleep.,: The month w/ the stormiest weather.,: The most difficult age for a girl.,: Wall_____,"Jim: Car (20), church (29), Nov. (4), 13 (31) & paper (39)
Brandon: $, movies (16), Oct., 15 (18) & Street (16)
Unsaid #1: Apr. || "
328,314,365,362,"M-U: Williamses (Andrea, Clarence, Tina, Elliot & Toni) v. Hugheses (Jerry, Jim, Jeff, Joe & Jason)",1689,": When you're at work, name something you fantasize doing.",: Tell me the longest you've every gone w/o doing laundry.,: A foreign accent that's pretty easy to imitate.,: A sport you have to be rich to do.,: A pet you have to do a lot of cleaning after.,"Jason: Going to beach, wk. (25), Spanish (24), golf (32) & dog (40)
Jeff: Going home (37), month (10), French (22), polo (38) & cat
Unsaid #1s: Two wks. & British || "
329,152,363,366,"M-U: Sullivans (Jim, Randy, Brandon, Annika & Cheryl) v. Trans (Julie, Charlye, Khanh, Vu & Vi)",1695,": According to men, how many in. has your waist increased since high school?",: Something that happens when you haven't eaten in a while.,: Something you shake before using.,: Something that gives you goosebumps.,": Something you look forward to all yr., every yr.","Vu: 10 (4), stomach growls (14), deodorant, cold air (31) & Christmas (45)
Charlye: Six (14), get skinny (9), salt/pepper shakers (4), air conditioning & birthday (12)
Unsaid #1s: Four, stomachaches & juice || "
330,315,365,362,FIRST-RUNÂ REMATCH,1700,: Use positive thinking & tell me something you'd see in your future.,: Something that's rarely on time.,: Name the earliest age at which you remember yourself.,: A fruit or veggie bartenders use.,: Something parents wish their children would learn to do quietly.,"Clarence: Wealth (25), train (9), 5 (25), celery (3) & talk (12)
Tina: Brand-new car (2), family (3), 4 (17), lemon (27) & play instrument (2)
Unsaid #1s: Airplane/flight, lime & play || "
331,154,367,366,"M-U: Troutmans (Kimberly, Tiffany, Tamara, Derrick & Travis) v. Trans",1705,": If roles were reversed, name a way a grade-school student would punish a teacher.",: How many balls can a really good juggler juggle at one time?,: A clothing store teenagers love.,: Something in the office starting w/ C.,: Something w/ claws.,"Tamara: Write on board (4), five (25), Forever 21 (6) & cats (44)
Travis: Detention (27), three (10), Rue (3), cups (3) & dogs (3)
Unsaid #1s: GAP & computers || "
332,316,365,368,"G1: Williamses v. Pulatties (Mike, Josh, Abi, Linda & Kristy)",1711,": According to men on the scale, how much would you like a wife who made the money?",: A specific food whose aroma makes you hungry.,: Name something of yours a Dr. checks that starts w/ T.,: A chore a kid's expected to do everyday.,: A bird you see near water.,"Clarence: 5 (9), pizza (14), tongue (18), make the bed (29) & flamingo (3)
Tina: 10 (28), spaghetti (5), teeth (2), take garbage out (14) & pelican (7)
Unsaid #1s: Chicken, tonsils & duck"
333,316,367,369,"G2: Troutmans v. Turnbergs (Michelle, Jen, Nicholle, Jillian & Jess)",1716,": Acc. to married women, how long before your birthday does your hubby shop for gifts?",: Mad _____,: Something you'd expect to find inside a doghouse.,: A dental procedure people HATE.,: A place people fight for the armrest.,"Jen: The day of (18), â€œMenâ€ (16), bones (33), root canal (38) & plane (34)
Michelle: The day before (29), Libs (3), dog (22) & filling (47) 
Unsaid #1s: Hatter & movies || "
334,317,365,370,"G1: Williamses v. Lewises (Jim, Sheri, David, Gordon & Margaret)",1721,": According to married women, what's the longest you've gone w/o kissing your spouse?",": Besides a chicken, name a creature that lays eggs.",: King ____,: Something that comes in a jar.,: Something you might see on the bathroom floor.,"Jim: Day (26), ostrich (6), -s of Leon, pickles/relish (34) & urine
Sheri: Month (13), duck (20), Cole, mayo (3) & T.P.
Unsaid #1s: Kong & rug/bath mat"
335,317,371,369,"G2: O'Connors (Ed, Brian, Jeff, Brian & Katie) v. Turnbergs",1727,: Name an occupation that's full of people who think they know it all.,: Which country do you think has the best NUDE beaches?,: Something a woman might keep on her makeup table.,: Tell me the age when men start getting potbellies.,: Something you clean about once a wk.,"Jen: Lawyers (25), France (28), brushes (14), 40 (24) & bathrooms (42)
Michelle: Drs. (16), Spain (5), lipstick (20), 28 & kitchen (4)
Unsaid #1s: Politicians & 35 || "
336,318,372,370,G1: Dardens v. Lewises,1733,: Something people are doing at a later age these days.,: What's the WORST place to be during a blackout?,: A nut you'd find in I.C.,: Tell me what time you'd have to wake up to watch the sunrise.,: An occasion when people rent a limo.,"Travis: Retiring (17), work (2), almond (23), 6AM (31) & weddings (36)
Terry Jr.: Vacationing (6), school, peanut (9), 7AM (6) & birthdays (3)
Unsaid #1s: Having kids, elevator, pecan & prom/dance"
337,318,373,369,"G2: Lagos (Willie Jr., Tramaine, Jasmine, Malcolm & Willie III) v. Turnbergs",1738,: Name a kind of car a young guy wants but CAN'T afford until he's an old man.,: A kind of place you feel all cooped up.,: Something a waiter might be holding in his hand.,: What time do you start thinking about lunch?,: Tell me a language that would be difficult to learn.,"Jasmine: Porsche (12), church, drinks (2), noon (18) & German (3)
Willie III: Corvette (28), plane (8), food (9), 10 (7) & Chinese (38)
Unsaid #1s: Elevator, tray & 11 || "
338,248,372,374,"G1: Dardens (Terry Jr., Marleisha, Travis, Marleen & Terry Sr.) v. Klines (Connie, Noah, Jessica, Ryan & Cody)",1743,": In a word, what's the most important ingredient of a good marriage?",: Something in a cheap motel rm. that might be too small.,: Tell me how often people wash their car.,: Something you find in a sports bar.,: A BAD occupation for someone who FAINTS at the sight of blood.,"Jessica: Love (19), beds (37), once a month (11), beer (35) & ER doctor (41) 
Ryan: Trust (27), towels (6), every other wk. (29), TVs & nurse
Unsaid #1: Once a wk."
339,248,375,376,"G2: Gallaghers (Keisha, Bonita, April, Chaka & Tracey) v. Christners (Tracy, John, Jim, Laurie & Christopher)",1748,: Name a part of a woman's body that ISN'T sexy when it's REALLY HAIRY.,: What do most men expect most women to be REALLY BAD at?,": On the scale, how much do you gossip?",: Name the U.S. city that probably has the best nightclubs.,: Something a person might bust out of.,"April: Stomach, ceiling (17), 7 (4), NY (40) & pants (30)
Bonita: Arms (30), 9 (4) & Vegas (32)
Unsaid #1s: Underarms, cooking, 5 & jail/prison || "
340,249,377,374,"G1: Lees (Shekita, Angelisa, Alice, Sheeluh & Ryan) v. Klines",1753,: Tell me the time you've probably wake up if your alarm clock DIDN'T go off.,: Something your home's filled w/ at Christmastime.,: A food people put TABASCO on.,: Someone you have to stand up to now & then.,: A girl's name starting w/ V.,"Jessica: 9AM (12), decorations/lights (24), tacos (19), mom (11) & Veronica (18)
Ryan: 8AM (26), presents (20), eggs (27), boss (38) & Vicki (38)"
341,249,375,378,"G2: Gallaghers v. O'Deas (Carol, Janette, Josette, Courtney & Jacqueline)",1759,: Something in a honeymoon suite that encourages romance.,: How many hrs. a day do you spend on housework?,: A food that people eat at shopping malls.,": Besides rose, name the best-selling flower at a flower shop.",": Even after the divorce, name something couples fight about.","Josette: Bathtub (27), two (25), fries (3), carnation (33) & $ (49)
Courtney: KY jelly, three (17), hot dogs (12), tulip (13) & kids (42)
Unsaid #1s: Jacuzzi/hot tub & pizza || "
342,250,379,374,"G1: Ollers (Allyson, Russell, Kelsey, Lavawn & Laverne) v. Klines",1764,": Instead of a supermodel, name an occupation you wish girls would live up to.",: A sport a tough guy think is WIMPY.,: Name the cutest breed of dog.,: What's the best hr. for a nap?,: Something people borrow from neighbors when they're having a party.,"Allyson: President (9), polo (4), bulldog, 12 (17) & sugar (4)
Russell: Dr. (21), curling, Yorkshire Terrier, 3 (19) & cups (7)
Unsaid #1s: Golf, poodle, 2 & chairs"
343,250,230,378,"G2: Williamses (Kojuana, Terrell, Rita, Tashia & Nichole) v. O'Deas",1769,: Something people open in the morning & close at night.,: After how many dates does a man STOP trying to impress?,: Someone who can RUIN your day if they choose to.,: Something that's kept locked up.,: Name the WORST thing to be OUT OF ORDER at work.,"Nichole: Three (24), boss (21), jewelry (15) & bathroom (44)
Kojuana: Coffee, five (19), spouse/mate (30), $ (31) & computer (21) 
Unsaid #1: Blinds/curtains || "
344,251,379,380,"G1: Ollers v. Simses (James, Marcia, Melinda, Changa & Kamilah)",1774,: Name the age when a kid's too old to suck their thumb.,: Something retired seniors want their homes to be near.,: Something you'd see in a chemistry laboratory.,: Something you own that you talk to as if it were a person.,: Something you buy in bulk.,"Lavawn: Five (22), lakes/water (8), chemicals (14), pet (34) & potatoes
Russell: Six (7), Bunsen burners (4), TVs (15) & cereal (5)
Unsaid #1s: Hospital/Dr., test tubes & T.P."
345,251,230,381,"G2: Williamses v. Goulds (Josh, Sarah, Jenn, Paul & Ben)",1779,": According to men, as a little kid, what was your favorite animal to pretend to be?",: A word rhyming w/ â€œjumpâ€.,: Something you use everyday starting w/ C.,: Something that bends.,: Something you might bring to someone in prison.,"Nichole: Dog (25), pump (13), comb (10), legs/body parts (31) & $ (9)
Kojuana: Cow, bump (25), car (32), rope & cigarettes (15)
Unsaid #1: Food || "
346,404,379,382,"M-U: Ollers v. Kennedys (Sheila, Christie, Stephanie, Scott & Mike)",1784,": On the scale, how far do you feel you've lived up to your potential?",: A household chore women postpone.,: Name the toughest sport to train for.,: Something a bride might do right before she walks down the aisle.,: Tell me an animal starting w/ B.,"Christie: 7 (23), shopping (8), weightlifting, kisses father (9) & baboon (9)
Scott: 8 (17), cleaning bathroom (21), triathlon (20), cry (37) & buffalo (2)
Unsaid #1s: Laundry/ironing, boxing & bear || "
347,148,383,332,"M-U: Briscoes (Denise, Tora, Cory, Millie & Betty) v. Mastrinos",1790,": According to married men on the scale, how ANNOYING is your mom-in-law?",": Besides a holiday, an occasion when families come together.",: Something people drink after dinner.,: Something robbers of the Old West robbed.,: A sport where people throw something.,"Joe: 10 (17), birthdays (38), alcohol (32), banks (47) & football (30)
Tim: 9 (5), Thanksgiving, soda (15), trains (27) & baseball
Unsaid #1s: 1 & coffee || "
348,406,385,382,"M-U: Browns (Keith, Wakea, Leslie, Ty & Kaon) v. Kennedys",1795,: A holiday that you might get stuck hanging out w/ people you DON'T really like.,: What's your dog's WORST habit?,: Something that tastes better when it's slathered w/ butter.,: A part of the body a person might twist.,": Besides planes, something you'd see in the sky.","Sheila: 4th of Jul. (10), licking (23), biscuits (7), wrist (3) & birds (42)
Scott: Christmas (35), pooping (11), toast (31), arm (21) & clouds (20)
Unsaid #1: Ankle || "
349,149,386,332,"M-U: Southards (Lori, Mary, Mike, Bob & Sandy) v. Mastrinos",1800,: Name a word used to describe how you feel when you've eaten too much.,": Besides poker, name a card game.",: A body part you can massage yourself.,: How old when you first played Spin the Bottle?,: Name the dirtiest rm. in your home.,"Joe: Full (32), Texas Hold â€˜Em, arm (6), 12 (33) & shoe rm.
Tim: Sick, Blackjack (26), legs (19), 13 (18) & laundry rm. (8)
Unsaid #1s: Feet/soles & bathroom || "
350,150,387,332,"M-U: Oldses (Teresa, Joi, Darryl, Demarkus & Natt) v. Mastrinos",1806,: Name a decision many people say they WON'T make until they sleep on it.,: A state w/ tall mountains.,": On the scale, how physically fit are you?",: A snack kids love starting w/ P.,: Something housewives do in the afternoon.,"Joe: Divorce (4), MT (18), 7 (16) & watch TV (41)
Tim: Marriage (21), CO (27), 10 (2), peanut butter (30) & shop
Unsaid #1s: Buying a home & 5 and 6 || "
