P1A1,P1A2,P1A3,P1A4,P1A5,P1A6,P2A1,P2A2,P2A3,P2A4,P2A5,P2A6
 (Dog) toys/balls (26), remind them of their rights (9), 9AM (6), family/people (37) ," banana (48)",, Rabbit (11), beat up (8), 5AM (32), pets (26) , avocado,
 1 (25), Wed. (9), tired, flabby (46) ," cheap (55)",, 6 (9), Sat. (29), bully (29), small , greedy,
 8 (14), treadmill (20), books (22), honest (24) ," spouse/mate (36)",, 7 (10), weights (8), pen(cil)s (25), hat (2) , best friend (19),
 Miniskirt (4), sex (28), grapes (19), $100 (36) ," elephant",, Dance (19), puss (9), $50 (7) , hyena,,
 Cigarettes (2), Linda (22), German Shepherd (26), orange (14) ," 10 (9) ",, Cellphone (12), Lily (4), Great Dane (20), apple (31) , 7 (19),
 Wash mouth w/ soap (38), 40 (14), Jan. (32), B.O. (18) ," nice suit (21)",, Grounding (8), 32 (2), Feb. (18), smoke (30)(tied w/ alcohol) , car (49),
 Mace (24), world (28), muscles (29), 10 (38) ," butter (28)",, Purse/wallet (10), masculinity (10), 9 (19) , P.B. (48),,
 Workout (6), soup (4), John(athan)(26), two (13) ," horse (48)",, Smoke (28), pasta/noodles (22), Jesse, three (30) , lasso (17),
 9 (6), mom (23), lettuce (2), dog (23) ," L.A. (40)",, 8 (22- tied w/ 5), sister (3), tomato (8), bear (14) , Milwaukee,
 Bear (3), 10 (11), car (23), roller coaster (29) ," bank (2)",, Elephant (8), 5 (12), watch (3), life (28) , work (42),
 5 (21), Aug. (15), couch (9), stethoscope (32) ," football (46)",, 3 (2), Jun. (6), TV (29), pager (3) , basketball,
 Two (25), fruit (29), doctors (11), cash (20) ," Daffy Duck",, Five, milk (17), pro athlete (3), dough (30) , Goofy (41),
 One (27), Betty (25), chips (18), bugs (8) ," antifreeze (14)",, Two (24- one , three tied for #1), Brittany (10), chicken wings (29), pennies (5) , oil (30)
 10 (21), peas (26), dump (31), people (41) ," (pint) glass",, 5 (9), carrots (15), hump (15), dog/pet (22) , bottle (34),
 Cars (31), four (17), list (6), hair (33) ," friends (14)",, Phones (10), two (9), number, fur , family (41),
 7 (19), warts (14), and pain, crack (11) ," leash (18)",, 8 (13), tumors (2), “…to the World” (24), scramble (18) , clothes (52),
 4 (11), church (34), clergy (10), sit-ups (34) ," tomatoes (3)",, 3 (12), movies (16), singer (8), running (18) , chicken (49),
 5 (18), bear (9), your class (10), bottle/food (42) ," butterfingers (7)",, 8 (3), elephant (5), your game (16), pacifier (29) , clumsy (51),
 9 (11), jar, cucumber/pickle (24), TV (27) ," huge (50)",, 10 (24), half-full (9), squash (9), sex (2) , gray (11),
 Marines (37), 18 (4), pay (12), crazy (39) ," Q-tips (52)",, Army (2), 25 (22), garbage/housework/chores (33), daisy , wax,
 Glass (2), ravioli (3), 15 (3) ," brush teeth",,, Lamp (21), beans (14), 23, watch TV (2) , St. Bernard (36) ,
 5 (2), piano (22), potato (27), TV (20) ," brush (48)",, 8 (3), FL, corn (14), VGs (5) , sponge (20),
 Hr. (28), dog (21), Fri. (42), bath/shower (45) ," $ (50)",, Three hrs. (2), turtle (34), Sat., meal , food ,
 10 (7), living (31), awesome (29), cantaloupe (5) ," cat (38)",, 5 (12), kitchen (35), super (8), ham (2) , other dogs (14),
 1 (19), pinecones (8), athlete (12), tomatoes (31) ," furn. (15)",, 9 (6), sticks (28), astronaut (15), cucumbers (8) , TVs (36),
 Text (4), 20 lbs. (3), cough (10), CA (37) ," church (44)",, Watch TV late (6), six lbs., sore throat (14), FL (37) , movies (15),
 Bathroom (26), drug charges (23), bananas, Reese's (5) ," (finger)nails (44) ",, Office (3), divorce (28), eggs (27), Skittles (7) , jewelry,
 Feet (5), $100 (29), pinch (37), Mercury (3) ," pig (25)",, Brain (19), $50 (21), piercing, Milky Way (2) , horse (6) ,
 13, warts (7), salad (6), beer/alcohol (41) ," strawberry (11)",, 10 (14), nose, head (10), shamrocks (29) , vanilla (51),
 Pee (6), three (16), under bed (33), shovel ," garlic (53)",, Drink (17), twice (23), toybox (31), wood (44) , onion ,
 Noon (5) ," tarantula/spider (30)",,,,, Armpits (3), 7PM (3), cockroach (12), bury somebody (48) , JELL-O,
 Face/nose (34), nightclub (6), one (41), Lieutenant (11) ," jackets/coats (35)",, Breasts (21), strip joint (25), two (33), Sergeant , hangers,
 6 (3), hippo (9), tractor (14), talk (42) ," TN (55)",, 7 (11), elephant (31), plow (20), sing , TX (45),
 Bone (25), child (3), broccoli (12) ," five (12)",,, Toy (19), myself, diapers (29), asparagus (5) , seven (50),
 40 (21), turkey (38), wrestling, myself (5) ," teeth (6)",, 35 (6), ham (38), hockey (37), ring/jewelry (40) , hair (43),
 3 (12), water (26), stay up all night, OH (31) ," magician (2)",, 10 (6), window cleaner (23), play (29), UT (11) , singer (43),
 $2K (10), strawberry (24), lion (31) ," sink/plumbing (39)",,, $1K (37), peach (9), work on computer (5), tiger (19) , car (17),
 Three hrs. (3), chips and salsa (5), pig, Christmas (28) ," hair (38)",, Hr. (38), shrimp (7), lion, Valentine's Day (4) , skin (2),
 Lights (16), 18 (5), banana (8), (crazy) uncle ," eyes (13)",, Water (4), 40 (8), apple (9), friend (30) , heart (44),
 10 (26), soda pop (39), toy (3), gum (33) ," $ (50)",, 6 (2), cribs (34), nails (45) , clothes ,,
 Mom (21), spinach (18), privates (11), get out of bed/wake up (31) ," 3lbs (5) ",, Spouse/mate (17), lettuce (8), feet (16), shower (13) , 10lbs (28),
 CO (21), bacon (29), “Blue Moon” (19), $10M (8) ," $ (17)",, NV, mayo (2), “Blue Suede Shoes” (28), $5M (9) , jewelry (36),
 Dog (2), bra (4), cars (26), 200 (13) ," weight (20)",, Cat, shirt (16), cards (21- stocks tied for #1 w/ cars), 300 (37) , bald hair (41),
 Forehead, 25 (12), people (31), whiskey (21) ," finances (55)",, Nose (38), 40 (16), car (13), coffee (29) , still love her,
 Books, 9 (8), wheelchair (24), sleep in (13) ," angry (12)",, Shoes, 10, board games (13) , fever (47),,
 Phone, five, sleep (26), pigeon (33) ," deodorant",, $ (13), 25 (18), dance, parrot , driver's license (6),
 Panties (24), 10 (10), coffee (45), stomach (2) ," football (49)",, Shirt (13), 8 (22), cereal (12), chest (27) , soccer,
 Toys (10), microwave (6), life (37), 10 (24) ," another woman/ex (43)",, Playgrounds, TVs (34), God (7), five (39) , kids,
 Football (27), 10 (9), Obama (18), Christmas (6) ," syrup (45)",, Baseball (22), 8 (22), Carter (14), birthday (24) , fruit (10),
 50 (17), I.C. (17), legs (15), dance (28) ," football (36)",, 30 (3), pizza (21), hair (18), karate (3) , basketball (21) ,
 Bill collector (28), feet (25), cheese (40), paperclip ," two (46)",, Mom (5), hands (5), soup (32), fingernail (8) , 1.5 (3),
 Sports magazines (24), talking too much (26), hair tie (12), 40 (32) ," cats (45) ",, Wallet, cheating (8), undies (24), 50 (14) , mice,
 Brush teeth (31), 8 (18), S.F. (18), pet (34) ," wake up (56)",, Put on clean clothes (6), 10 (21), Vegas (10), baby (55) , work,
 Dancer (6), blue (30), boots (36), hungry (41) ," 10PM (40)",, Exotic dancer (7), black (25), gloves (8), bathroom (9) , 9PM,
 8 (23), soccer (24), bread (8), hat (4) ," oatmeal/cereal/granola (39)",, 9 (11), football (25), ham (14), plate , yogurt (15),
 Acne, 10 sec. (5), turtle (5), rake (21) ," pockets (12)",, Fat (15), five min. (8), snake (14), hoe (30) , pocketbook (4),
 5 (31), airport (18), cricket (38), growls (42) ," love (53)",, 4, restaurant, throws up , marriage,,
 Bill (20), five (7), Fri. (9), “Feud” (26) ," spider (55) ",, Safety pin (2), six (6), Wed. (5), “The Price is Right” (13) , caterpillar,
 Four (8), TX (32), cluck (37), banjo (30) ," were you good? (54)",, Five (6), AL (18), peck (12), ukulele , what do you want for Christmas? (42),
 Carnation (32), 13 (33), suck (32), whiskers (38) ," guitar (48)- ACED",, Daisy (29), 12, push thumbtack down, ears , violin,
 Wife/mate (24), two (2), rob (31), talk (3) ," Thanksgiving (19)",, Friends (16), six (24), theft (2), drive (27) , Christmas (50),
 Drink coffee (6), 100% (10), teeth (6), guns ," poker (9)",, Shower (29), 75% (13), home (24), registration (19) , club (12),
 5 (10), mallard, mac ‘n cheese (9), concert (29) ," nada (46)",, 4 (2), ostrich (25), TV dinner (10), sports event (27) , zero (10),
 10 (24), chairs (21), eggs (9), watch (35) ," Z (38)",, 6 (6), balls (3), beer (35), ring (39) , Y,
 5 (9), tires (25), children (30) ," FL (22)",,, 7 (15), transmission fluid, pet (39), margarita , Miami,
 Five (9), bar (26), cellphone (4), Oscar (35) ," goat (49)",, 14 (3), balls (10- cue sticks , alcohol also tied for the top), washing machine (8), Octave , giraffe
 Credit cards/$ (45), 100% (41), bagels (2), Christmas (4) ," hair (38)",, 75% (5), doughnuts (18), wedding (47) , bugs,,
 Picks nose (4), 8 (25), doctor (31), net (36) ," hands (44)",, Urinates (2), 7 (24), engineer (nurse tied for #1), boat (2) , face (4),
 7 (7), sex (16), wash head/shower (35), chips (9) ," surgeons (26)",, 5 (28), eat (29), DOESN'T care, drinks (30) , scalpel (37) ,
 Gas (10), drum (31), yesterday/one day (24), fork ," dog (51)",, Food (31), trumpet (30), month (10), food (2) , rabbit (2),
 10 (9), raisins, sex (21), wedding (21) ," worm (37)",, 7 (9), cake (16), $ (18), Thanksgiving , snake (5),
 Ears (4), 9 (5), behind (3), FL (42) ," hair (55)",, Mouth, 7 (11), belly (38), CA (49) , legs,
 10 lbs. (25), watercooler (14), pineapple (15), lend 'em $ (33) ," sleep (43)",, 30 (8), printer (19), cantaloupe (10), borrow car , watch TV (18),
 Basketball (21), toilet (12), 8 (20), butt (41) ," frog (44)",, Football (4), restroom (30), 10 (19), hips (4) , alligator (4)- BUMMER,
 Five, golf, Pittsburgh (32), nuts (3) ," pink (49)",, Three, basket (21), Philadelphia (35), corn , white,
 Deck (28), 13 (25), brown (5) ," new teeth",,, Bar (5), 16 (8), utter (12), pink (2) , filling (48),
 Bra, clothes (29), 13 (42) ," catch balls",,, Shoes (21), blood (20), teeth (23), 12 (26) , watch (9),
 5 (27), wolf (24), feed it (4), belly (4) ," math (36)",, 7 (4), lion (4), catch (23), ball (35) , science (7),
 $100 (31), carrot (38), AL (16), graduation (49) ," cat (39)",, $75 (6), broccoli (16), AR (6), first day of school , dog,
 Large (39), 31, bathroom (34), hat (11) ," Spanish (40)",, XL (28), 12, kitchen (31), shoes (32) , French,
 Security system (11), 10 (25), get undressed (32), doors ," hugs (23)",, Locked doors (26), 9 (14), cough (11), tables (34) , mugs (4),
 kiss (36), Nov., lights (22), four (4) ," pins/clubs (44)",, birthday, Jun. (25), phones (2), three (11) , shoes,
 Stomach (29), 14 (18), food/drink (27), hockey (23) ," FL (2)",, Breasts (11), 16 (5), toothbrushes (14), soccer (6) , AL (14),
 Flowers (25), Vegas (22), 7 (18), T.P. (38) ," squirrel (4)",, Candy/chocolate (15), MIA (16), 6 (36), sponge (3) , dog (53),
 Roach (19), hr. (25), Dec. (23), staples (24) ," closet (37)",, Ant (4), two hrs. (18), Feb. (15), pen(cil)s (10) , garage (17),
 7 (24), drive (25), lose (9), hats (12) ," hangover (11)",, 5 (17), run (26), wear (24), balloons (33) , sleeping pills (12),
 $1M (35), bread (28), water/ice (33), Tues. (41) ," red (57)",, $2M (7), ale, cheese, Fri. , yellow ,
 Butt, five (9), butt ," Atlanta (19)",,, Stomach (33), three (7), leg, New York (36) , father (2),
 Makeup (12), three (12), sexual (4), captain (6) ," chocolate (19)",, Clothing (9), four (7), gender (6), fishing pole (34) , peanuts (6),
 Strip joint (36), 70% (3), arm (5), Tues. ," while (25)",, Bar (42), 60% (6), nerve (6), Fri. (22) , blue moon (49),
 98, sty (9), trumpet (28), TVs (39) ," rattles (42)",, 72 (17), let (21), saxophone (17), radio (4) , food (21),
 Three (15), eggs (5), parrot/parakeet (29), hands (40) ," water (51)",, Seven, milk (29), mockingbird (15), feet (43) , sunlight,
 Toothbrushes, once (16), nose (34), electricity ," snake",, Toilet (33), twice (26), chin (5), boxers , donkey/mule,
 7 (7), greens (24), hump (17), head ," tennis (15)",, 5 (15), fried chicken (21), lump (35), stomach (33) , racquet,
 10 (34), you're bad (27), pick (34), apple (38) ," doors (51)",, 4, out, amp (16), watermelon , shelving,
 $ (31), every two wks. (17), it (33) ," makeup (29)",,, Clothes (13), two times a wk., the gold (30), baseball , clothes (57),
 Bedroom (9), MONOPOLY (29), -all (9), four (13) ," tents (40)",, Office, Chutes and Ladders, phrase (22), six (9) , OFF! (4),
 Face (23), two (15), oil (5), snake (19) ," birthday (50)",, Breasts (12), three (23- tied w/ 1), undies (28), ants (33) , wedding,
 3 (5), feeding pigeons (13), UNO, soup (16) ," nose (49)",, 5 (4), eating (20), Whist, spaghetti (5) , hat (6),
 10 min. (6), freckles (16), alcohol (17), spouse/mate (36) ," blow it (18)",, Five min. (3), pimples (8), amusement rides (24), mom (18) , sniff (15),
 50%, feet (5), butterfly (20), ribs (35) ," pimples (49)",, 7 (4), back (10), grub, chicken (23) , sky (38),
 10 (41), horse (25), bills (15), soccer (31) ," Christmas (51)",, 9 (36), auto (12), weight, basketball , New Yr.'s ,
 7 (15), whiskey (18), Block (12), Sun (17) ," gum (51)",, 10 (21), Sambuca, Ball (17), dress (2) , toothpicks (2),
 NO ONE shows up (4), 10 (11), green (32) ," praying (3)",,, DEAD people (8), 9 (13), old (29), baked (2) , eating (15),
 Bump (43), two (27), mall/store (21), tiger (19) ," hand (18)",, Stump, one (36), toilet (6), wolf (6) , eye (28),
 Doughnuts (25), tote (11), game machine (4), spouse/mate (35) ," 8 (13)",, Pizza (21), moat (8), slot machine (14), children (10) , 9 (38),
 Weight (34), breeze (8), sermon (7) ," wine/booze (38)",,, He sleeps more, put on seatbelts (22), time (27), prayers (34) , soda (15) ,
 45 (5), eat (33), Randy (33), peanuts (34) ," front (41)",, 25 (6), go on computer (14), Sandy (19), walnuts (2) , closet (front , back tied for the top)
 9 (3), candy (23), luggage, date (40) ," silk (48)",, 8 (10), cake (21), phone (26), kiss (32) , satin,
 Car (42), 8 (34), Christmas trees (13), fleas (17) ," undies (3)",, Home (25), 10 (24), decorate homes (20), sticks (2) , tree branches,
 7 (5), dishes (12), get toupee (5), lingerie (7) ," mountain (37)",, 9, undies, go bald, bridal shower (18) , wall (3),
 Looks (25), 7 (8), mosquito bites (25) ," Jul. (53)",,, Sense of humor (22- money tied for #1 w/ looks), 6 (10), wool sweater (7), tank (43) , Aug. (33),
 Cooking (11), violin (17), 40 (5), man (36) ," drink milk (16)",, Husband's exes (5), saxophone (7), 50 (32), woman (2) , take a sleep aid (45),
 Took makeup off (27), popcorn (9), 2 (14), L.A. (38) ," undies (40)",, Curlers in hair (15), pretzels (23), 4 (6), CHI (20) , socks (11),
 2 (16), bar (20), nose (2), fire hydrants (35) ," undies (4)",, 8 (10), vacation, man parts (26), mailbox , shirt (6),
 Cry (22), insemination (14), 30 (12), Good Housekeeping ," grapes",, Eat (10), flavoring (18), 40 (23), National Enquirer (29) , orange (10),
 Pants (3), bear (19), (Cayenne) pepper (18), three (16) ," Nashville (6)",, Makeup (5), shark (3), salt, two (30) , Alabama,
 10 (4), camel (25), bananas (28), fly (11) ," doctor's hands (8)",, 9, donkey, veggies (9), die (9) , bed sheets (37),
 People talking (21), 2lbs (9), peanuts (3), drive (34) ," heart (35)",, Less cost (22), 5lbs (20), pizza (28), had a beer (3) , liver (27),
 Vacuum, 40 (21), concert (6), hay (44) ," job (40)",, Pillow (4), 21, speeding (32), cow (20) , smoking (55),
 Smile (5), 20% (29), yellow (6) ," beef/poultry (37)",,, Looks (6), 25% (11), orange (8), telescope (14) , ham,
 10 (23), croaking (17), peach (21), first aid kit (31) ," football (50)",, 13 (6), warts (20), plum (15), BAND-AIDs , hockey (17),
 Best friend (23), pig (21), restaurant (24), :30 (6) ," jacket (10)",, Spouse/mate (14), porcupine (5), :45 (3) , hat (41),,
 Teacher (22), 65 (24), January (16), chocolate (20) ," softball (2)",, Principal, 55 (6), May (10), I.C. (26) , football,
 10 (2), $ (26), soccer (21), call locksmith (12) ," ice cream (5)",, 7 (14), (driver's) license (28), football, through windows (13) , watermelon (41),
 Motormouth (19), 8 (22), cookies (21), hair (30) ," drink water (39)",, IDIOT, 7 (18), pies (12), yarn , eat bread,
 5 (19), Poodle (21), bra (23), head (6) ," red (58)",, 6 (3), Chihuahua (29), panties (35), nose (42) , white,
 5 (17), glasses (11), PB&J (16), bathe ," gum (10)",, 15 (3), ticket (7), ham (3), sit down (4) , knuckles (2),
 Drinking (24), nurse (8), 10 (5), soap (34) ," burglar (15)",, Smoking (2), Dr. (25), 7 (10), sponge (23) , robber (40),
 Raking, go to bathroom (16), age (26), bathing (47) ," teeth (36)",, Bailing hay (2), eat/drink (36), swim (34) , hair (61),,
 5 (10), salad (15), fish (30), work out (13) ," alcohol (49)",, 8 (4), wedges, cat (11), sleep/relax (33) , gown (14),
 Drinking (27), bottle, opal (17), $600 (3) ," eat (54)",, Sex (6- smoking , drinking tied for #1), cheese, ruby (26), $500 (3) , drink (13)
 Spouse/mate (17), three (31), cuddles up (2), gum (37) ," mom (21)",, Tests/exams (28), two (14), barks (31), butt (5) , yourself (37) ,
 Shoulder (7), sweater (2), flitter (16), 20min (2) ," train (54)",, Back (30), dress, slither, two days (5) , greyhound (3),
 Park (12), orange (19), 2 (6), blood pressure (7) ," mints (23)",, Disneyland, pineapple (3), 5 (23), wash hands (31) , gum (18),
 Doctor (28), five (26), Chicago, aggravate (5) ," car (48)",, Teacher (17), six (3), IL, irritate (16) , washer (2),
 Eight (10), travel agent (4), marriage (25), demon (30) ," bologna (6)",, Seven (5), comedian (2), cookies (2) , PB&J (39),,
 Sex (28), doughnuts (25), 5 (15), hamstring (43) ," flu (30)",, Laundry, dough (2), 7 (9), arms (36) , hepatitis,
 90%, fame, heart (23), chicken (7) ," carts (41)",, 75% (21), skull, soup , plants (13),,
 Strawberries, beaver, two (22), wedding (47) ," car (32)",, Chocolate (2), groundhog (16), one (2), graduation (36) , home (46),
 Children too short, dropkick, janitor (31), face/forehead (36) ," day (37)",, Weather, golf, fisherman (5), chest , two days (10),
 40 (27), MI (2), chicken (6), marriage ," Puritans",, 50 (25), TX (4), pizza (9), financial support (18) , Thanksgiving (52),
 Butt (12), two yrs. (2), football (19), security guard (39) ," Sat. (35)",, Side (21), yr. (32), tennis (6), bartender (45) , Sun.,
 Two days, wedding (6), camel (16), flowers (31) ," walnut (39) ",, Day (34), New Yr.'s (3), donkey (12), $ (6) , pecan (3) ,
 3 (18), maker (20), clothes/shoes (24) ," broom (50)",,, 2 (21), stick (19), in-laws (11) , black hat (8),,
 Yr. (41), offering (13), pillow (32), grass seeds (2) ," socks (43)",, Two yrs. (28), prayers (30), spouse/mate (32), fertilizer , ducks,
 Sleep (26), baseball (8), lion (3), 16 (8) ," toy",, Eat, track/field, bear (16), 18 (32) , remote (15),
 Eyeliner (5), chocolate, 30 (19), bedroom (30) ," bra (38)",, Lipstick (26), fruit (19), 25 (3), kitchen (25) , support hose (18),
 Bathroom (19), seven (6), bathroom (2), heating pad (3) ," spouse/mate (49) ",, Bedroom (24), eight (13), area, stove (13) , mom (13) ,
 Texting (15), 17 (24), flowers/plants/lawn (41), bartender (4) ," bedroom (49)",, Talk on phone (10), 18 (34), health (27), dealer , bathroom,
 10 (16), squirrel (34), food/drinks (27), cry (42) ," hunk (51)",, Eight (6), lion (3), paper (7), drool (4) , funk,
 $500 (13), (fire)wood/logs (23), furniture (22), money (8) ," Halloween (57)",, $1K (10), matches (4), character , Christmas (5),,
 Hubby (2), sharks (38), plane (28), back (32) ," call 911 (47)",, Grip (6), might drown (24), car (41), knees/legs , shoot/kill,
 Three days (4), spouse/mate (15), get dressed, cat (34) ," pro athlete (16)",, Wk. (28), family (12), eat breakfast (19), dog (2) , lawyer (24),
 Lion (14), spouse/mate (7), cheaper (4), swimming ," wk. (39)",, Horse (8), bill collector, DOESN'T have to water (10), basketball (26) , two days (3),
 Three (6), refrigerator (20), chicken (4), dog (30) ," doctor (43)",, Six (25), stove (13), fish (20), cat (24) , lawyer (13),
 Shave, spiders/bugs (34), accent (34), fairy (37) ," one (48)",, Watch TV (11), burglar (4), cowboy hat (38), witch , three,
 10 (40), violet (6), Slapjack ," spouse/mate (38)",,, 9 (11), carnation (17), Blackjack (30), car (36) , bathroom (41),
 Food (23), five (20), tired, texting (3) ," bathroom (43)",, $ (4), two (12- four , five tied for #1), TV (2), talking (9) , bed (8)
 Fork (14), mom (15), the bottle (26), 8 (36) ," Orlando (12)",, Finger (6), spouse/mate (28), the wheel (14), 9 (21) , Florida,
 Works out, 40 (8), boots (26), tiddle ," massage (30)",, Wrap presents (12), 30 (18), saddle (29), brittle , spa (48),
 Snake (34), 10 (2), P.B. (34), firefighter (35) ," lightning (47)",, Dog, 8 (17), ranch (11), cop , bad mood,
 Put on cologne (3), car, snake (16), weather (40) ," Valentine's Day (46)",, Workout, parachute, ostrich (27), pleather , Christmas (42),
 Two days (28), (sumo) wrestling (29), reflectors (6), nervous (38) ," uniform (56)",, Day (42), rugby, light (11), hot , truck,
 $, cowboys (22), cotton (35), 50 (40) ," fair (49)",, Booze, horses (34), gabardine (3), 30 (14) , amusement park (5),
 9 (13), shower (15), bear (19), steak ," talk (5)",, 10 (35), sleep (24), deer (12), pizza (3) , poop (12),
 Strip joint (36), three (17), sleeping (7), tissue (25) ," S (39)",, H/motel (5), two (10), yawning (23), toothbrushes (2) , F (49),
 Five days, bottles (31), corn (38), violin (9) ," napkins",, Wk. (24), stools (14), wheat (23), guitar (39) , water glasses (48),
 40% (5), Jul. (17), island (27), saxophone (7) ," car (53)",, 75% (21- tied w/ 50%), Jan. (3), garden (3), trombone (11) , TV (2),
 Drink (4), 14 (11), Frisbee (11), cereal/oatmeal (32) ," tiger (7)",, Fart (27), 13 (25), football (4), eggs (24) , rabbit (6),
 Stove/oven (41), pot (37), 5% (27), bank acct. (20) ," Washington (36)",, Garbage disposal, weed (30), 10% (31), home , Lincoln,
 Fluffy, three hrs. (2), weight (23) ," run faucet (45)",,, Flabby, two hrs. (3), cereal, gender (34) , fill swimming pool,
 Get a box fan (21), 8 (20), needle (23), P.B. (21) ," L.A. (8)",, Call maintenance guy (14), 9 (17), sew, pickles (32) , MIA (52),
 8 (16), tennis (4), horses/ponies (27), back (11) ," spaghetti/pasta (38)",, 7 (9), golf (9), bikes (19), feet (36) , spinach,
 Au revoir (4), dress (30), -brown, 15 (14) ," football (7)",, Bon appetit, shoes (6), shell (4), 16 (36) , tennis (9),
 Weight (28), 30 (20), football (32), car (35) ," ice (11))",, Their fears (3), 40 (20), baseball (25), women , sugar (35),
 Six hrs. (12), pizza (8), time, Z (3) ," chess",, Eight hrs. (4), I.C. (27), bills (28), Q , basketball (37),
 Santa (6), cheese (24), elephant (17), potty (11) ," cotton (44)",, Elf (11), milk (15), hippo (17), restroom , silk (29),
 Twice (25), read (25), chickenpox, baseball (33) ," eat (40)",, 12 (2), talk (28), cold (30), football (16) , return calls (15),
 Breasts (29), two wks. (4), Italy (10), read magazines (7) ," sunflower (45)",, Belly (23), two months (17), Brazil, lose weight , pumpkin (15),
 22, junk (11), speak (2), leg (6) ," bat (14)",, Seven, punk (18), pick nose (9), elbow (15) , vase,
 Golf (39), $58K, beer (32), gun (36) ," soap (33)",, Tennis (31), $40K (11), water, getaway car (5) , robe (5),
 Liquor/beer (41), 5 (6), FL (5), pet ," watching TV (47)",, Fries, 6 (3), CA (32), mom (24) , eating,
 Pen(cil)(41), 10 (25), school (30), Christmas (42) ," home (53)",, Paper (31), 9, church, snow , $,
 Elephant (31), shoes/boots (35), sex (19), hair in it (10) ," muscles (45)",, Hippo, shirt (19), curse (32) , too cold (38),,
 Alarm (17), 6 (8), ferret (15), water (21) ," bacon (2)",, Train, 4 (14), fox (24), alcohol/wine (33) , onions (18),
 50 (24), piano/instrument (28), chips (29), Sept. (9) ," Mabel (2)",, 55, tic-tac-toe, tacos, May (2) , table (40),
 Drugs (22), cars (30), spiders (18), 40 (42) ," belly (23)",, Drive (13), coins (4), the dark (5), 35 (4) , feet (51),
 Robe/smokin' jacket (35), five (32), tiger (21), tuba (43) ," hairy (43)",, Pipe (23), four (30), lion, trumpet , flat ,
 Can opener (4), twice (15), too small (32) ," blonde (11)",,, Mom-in-law, dishwasher, three (31), too old (5) , brown (51),
 Carrot (14), 10 (24), clubs (28), snake (30) ," kids at home (10)",, Broccoli (26), 12 (26), pool, lizard (6) , sick (36),
 Dress (42), Oct. (28), couch (29), food (19) ," engine (45)",, Hair, Sept. (14), fridge (19), spray (7) , muffler,
 Bra (43), Steve, Thanksgiving (3), $7 (11) ," Vegas (36)",, Pants (13), Drew (7), birthday (33), $10 (26) , NYC (39),
 9 (12), strawberry, monkey, People (38) ," paper towels (42)",, 10 (9), apples (14), Boxer (5), TIME (8) , mop (13),
 50% (7), dash (7), baseball (28), wedding (30) ," goods",, 20% (5), bash (19), bowling (9), sports event (23) , Alaska (8),
 5 (24), eat (18), marshmallow (4), waiter (29) ," police officer (47)",, 10 (8), pray (23), pillow (12), bellboy (30) , spouse/mate (13),
 Five (12), rats/mice (19), back (10), mom (24) ," work (44)",, 10 (16), moths (16), shoulders (11), grandma (3) , flights (5),
 Home (8), six (22), trains (6), bleepers ," back (49) ",, Church (8), seven (3), trips (18), jeepers (32) , feet (37),
 Chicken (38), attorney (3), 10 (38), bird (45) ," restaurant (21)",, Beef, boss, 8 (19) , curd,,
 7 (9), smoking (30), apples (28), tails (45) ," plane (51)",, 5 (25- tied w/ 8), exercising, nose (37), “nasils” , person,
 $100 (33), beagle (22), clothes (46), dirty (46) ," smarts (34)",, $150 (2), Bichon (4), jewelry, they smoke , looks (46),
 Wallet (17), 71, knife (3), oil (34) ," trumpet (14)",, Email, old, flashlight (27), water (17) , harmonica (19),
 0 1 (35), hat (19), snake (22), governor (31) ," clean up (12)",, 6 (8), sunglasses (23), lizard (6), senator (19) , brush teeth (19),
 T.P. (10), Oprah (22), robin (23), French-fried (2) ," one (49)",, Paper towels (31), Orlando (2), blue jay (5), sweet (13) , two (22),
 Sit-ups (24), mice/rat (29), fast food line (9), five hrs. ," Nashville",, Run (12), gerbil (8), fair, day (34) , Vegas (19),
 $2K (14), oysters/fish/meat (38), IA (27), butt (24) ," $/alimony (50)",, $1K (28), milk (13), belly (41) , kids,,
 5 (22), honk horn (24), B.O. (42), humans (42) ," flowers (29)",, 10 (5), check phones, breath (27), other fish (42) , their heart,
 7, bitter (27), condoms (13), carrot (36) ," spit (46)",, 6 (4), jitter, sex tapes (13), cucumber (2) , autograph (5),
 Month (4), butter (33), wrestling (26), plane (34) ," go to school (3)",, Wk. (13), cheese (29), boxing (20), glider , clean up (41),
 Strawberry (21), five (5), turtle (36), lap pool ," address (9)",, Pretzel (10- strawberry , cake tied for #1), 12 (27), seal (7), laptop (33) , date of birth (37)
 25% (7), pick up people (8), lion (27), socks (35) ," fried chicken (39)",, 50% (21), socialize (27), bull (17), shoe polish (17) , collard greens (10) ,
 $10 (29), milkshake, ball, woman (17) ," moving truck/van (46)",, $15, macaroni (7), task (28), shark (34) , rugs,
 Work function (2), little sisters (20), rings (9), three (14) ," doughnuts (13)",, Opera (10), boxes, instruments (9), 12 (8) , muffins (9),
 Bathroom (19), shoes (23), snore (17), ketchup (16) ," bull (38)",, Seatbelt (4), underwear (13), eat/chew (21), meat (11) , deer,
 15 (13), spouse/mate (23), happy (23), your rope (36) ," eggs (46)",, 50 (8), mom (21), me (8), road (11) , pancakes (11),
 Watch TV/sports (43), four (27), death (25), host (28) ," grease",, Sex (10), five (32), heart attack, most (43) , bones,
